"id","state","county","year_month"
47124,"NC","Mecklenburg","2012-01"
47131,"NC","Pasquotank","2012-01"
47132,"NC","Cumberland","2012-02"
47134,"IL","Cook","2012-01"
47136,"IL","Cook","2012-01"
47138,"IL","Sangamon","2012-01"
47142,"IN","Porter","2012-01"
47145,"IN","Elkhart","2012-01"
47147,"IN","Vanderburgh","2012-01"
47149,"IN","Hamilton","2012-01"
47151,"IN","Allen","2012-01"
47153,"IN","Marion","2012-01"
47156,"IN","Tippecanoe","2012-01"
47158,"IN","Lake","2012-01"
47160,"IN","St. Joseph","2012-01"
47162,"IN","Lake","2012-01"
47164,"IN","Kosciusko","2012-01"
47168,"KS","Riley","2012-01"
47170,"KS","Saline","2012-01"
47172,"KS","Shawnee","2012-01"
47174,"KS","Sedgwick","2012-01"
47177,"IN","Marion","2012-01"
47179,"KY","Boone","2012-01"
47181,"KY","Jefferson","2012-01"
47185,"NC","Randolph","2012-01"
47187,"NC","Buncombe","2012-01"
47191,"NC","Watauga","2012-01"
47193,"NC","Wake","2012-01"
47196,"IL","Cook","2012-01"
47198,"IL","Will","2012-01"
47200,"IL","Lake","2012-01"
47204,"IL","Williamson","2012-01"
47206,"IL","Cook","2012-01"
47208,"IL","Coles","2012-01"
47210,"IL","Cook","2012-01"
47212,"IL","Rock Island","2012-01"
47214,"IL","DuPage","2012-01"
47216,"IL","Cook","2012-01"
47218,"IL","Cook","2012-01"
47220,"IL","Cook","2012-01"
47224,"IL","LaSalle","2012-01"
47246,"GA","Fulton","2012-06"
47385,"IN","St. Joseph","2011-12"
47388,"IN","St. Joseph","2011-12"
47389,"IN","St. Joseph","2011-12"
47412,"WI","Wood","2011-11"
47457,"CA","Santa Cruz","2012-04"
47511,"TX","Dallas","2012-03"
47512,"TX","Dallas","2012-03"
47542,"UT","Salt Lake","2012-01"
47544,"UT","Davis","2012-01"
47548,"VA","Chesapeake","2012-01"
47550,"VA","Chesapeake","2012-01"
47552,"VA","Chesterfield","2012-01"
47554,"VA","Danville","2012-01"
47556,"VA","Bedford","2012-01"
47558,"VA","Spotsylvania","2012-01"
47560,"VA","Harrisonburg","2012-01"
47562,"VA","Hanover","2012-01"
47564,"VA","Newport News","2012-01"
47566,"VA","Norfolk","2012-01"
47568,"VA","Henrico","2012-01"
47570,"VA","Henry","2012-01"
47574,"VA","Stafford","2012-01"
47576,"VA","Augusta","2012-01"
47578,"VA","Virginia Beach","2012-01"
47590,"CA","Contra Costa","2011-03"
47591,"CA","Kern","2011-03"
47592,"CA","Orange","2011-03"
47593,"CA","Los Angeles","2011-03"
47594,"CA","Riverside","2011-03"
47595,"CA","Los Angeles","2011-03"
47596,"CA","Butte","2011-03"
47597,"CA","Los Angeles","2011-03"
47598,"CA","Fresno","2011-03"
47599,"CA","San Mateo","2011-03"
47600,"CA","Contra Costa","2011-03"
47601,"CA","Riverside","2011-03"
47602,"CA","Orange","2011-03"
47603,"CA","Yolo","2011-03"
47604,"CA","Los Angeles","2011-03"
47605,"CA","Los Angeles","2011-03"
47607,"CA","San Diego","2011-03"
47609,"CA","San Diego","2011-03"
47610,"CA","Humboldt","2011-03"
47646,"CA","San Joaquin","2011-03"
47652,"FL","Manatee","2011-03"
47653,"FL","Volusia","2011-03"
47654,"FL","Palm Beach","2011-03"
47656,"FL","Broward","2012-03"
47658,"FL","Citrus","2011-03"
47659,"FL","Duval","2011-03"
47660,"FL","Duval","2011-03"
47663,"FL","Columbia","2011-03"
47666,"FL","Miami-Dade","2011-03"
47667,"FL","Miami-Dade","2011-03"
47668,"FL","Miami-Dade","2011-03"
47671,"FL","Miami-Dade","2011-03"
47672,"FL","Broward","2011-03"
47676,"FL","Highlands","2011-03"
47677,"FL","Martin","2011-03"
47678,"FL","Hillsborough","2011-03"
47679,"FL","Hillsborough","2011-03"
47680,"FL","Hillsborough","2011-03"
47681,"FL","Indian River","2011-03"
47682,"FL","Polk","2011-03"
47685,"MD","Baltimore","2012-01"
47687,"MD","Baltimore","2012-01"
47689,"MD","Prince George's","2012-01"
47691,"MD","Howard","2012-01"
47693,"MD","Prince George's","2012-01"
47695,"MD","Howard","2012-01"
47697,"MD","Anne Arundel","2012-01"
47699,"MD","Washington","2012-01"
47701,"MD","Anne Arundel","2012-01"
47703,"MD","Baltimore","2012-01"
47708,"MD","Wicomico","2012-01"
47710,"MD","Baltimore","2012-01"
47715,"MN","Hennepin","2012-01"
