"county","state","2017","2018","2019","2020","2021","2022","2023","2024"
"Reno","KS",62714,62331,61998,61887,61510,61516,61588,61588
"Rensselaer","NY",159200,159283,158714,160900,160740,159853,158993,158993
"Renville","MN",14693,14609,14548,14697,14628,14525,14578,14578
"Renville","ND",2455,2358,2327,2273,2262,2220,2234,2234
"Republic","KS",4654,4652,4636,4677,4682,4642,4648,4648
"Reynolds","MO",6260,6282,6270,6077,6082,6006,6024,6024
"Rhea","TN",32671,32911,33167,32934,33205,33730,34090,34090
"Rice","KS",9563,9483,9537,9385,9406,9407,9418,9418
"Rice","MN",66196,66566,66972,67086,67375,67693,67939,67939
"Rich","UT",2395,2456,2483,2500,2581,2628,2657,2657
"Richardson","NE",7971,7938,7865,7860,7783,7705,7746,7746
"Richland","IL",15837,15695,15513,15778,15685,15435,15396,15396
"Richland","MT",11027,10855,10803,11531,11342,11237,11337,11337
"Richland","ND",16287,16229,16177,16527,16570,16580,16680,16680
"Richland","OH",120430,120987,121154,124962,125327,125319,125638,125638
"Richland","SC",411800,414202,415759,415645,417132,421566,428822,428822
"Richland","WI",17517,17397,17252,17272,17166,17090,17144,17144
"Richland Parish","LA",20413,20223,20122,20032,19890,19826,19755,19755
"Richmond","GA",201673,201667,202518,206526,205358,206640,208844,208844
"Richmond","NC",44827,44888,44829,42916,42842,42778,43324,43324
"Richmond","NY",475671,476260,476143,494586,493484,491133,488489,488489
"Richmond","VA",8889,8970,9023,8919,9049,9080,9114,9114
"Richmond city","VA",227230,229221,230436,227008,227602,229395,230243,230243
"Riley","KS",73977,74712,74232,72013,71849,71108,71191,71191
"Ringgold","IA",5024,4940,4894,4642,4626,4670,4680,4680
"Rio Arriba","NM",39235,39023,38921,40269,40249,40048,40068,40068
"Rio Blanco","CO",6352,6330,6324,6524,6453,6569,6612,6612
"Rio Grande","CO",11297,11271,11267,11538,11388,11325,11399,11399
"Ripley","IN",28428,28450,28324,28968,29017,29087,29212,29212
"Ripley","MO",13565,13420,13288,10670,10619,10703,10735,10735
"Ritchie","WV",9851,9748,9554,8426,8388,8207,8184,8184
"Riverside","CA",2414964,2445789,2470546,2422847,2453178,2473902,2469836,2469836
"Roane","TN",53020,53258,53382,53510,54056,55082,55670,55670
"Roane","WV",14004,13918,13688,13986,13912,13834,13795,13795
"Roanoke","VA",93939,94086,94186,96922,96751,96914,97273,97273
"Roanoke city","VA",98986,99009,99143,99883,98744,97847,98209,98209
"Roberts","SD",10265,10376,10394,10250,10178,10163,10270,10270
"Roberts","TX",941,898,854,822,798,803,816,816
"Robertson","KY",2120,2130,2108,2181,2250,2229,2236,2236
"Robertson","TN",70328,71179,71813,72945,74088,75470,76275,76275
"Robertson","TX",17153,17219,17074,16771,16948,17153,17424,17424
"Robeson","NC",132626,131884,130625,116305,116229,116663,118152,118152
"Rock","MN",9459,9401,9315,9684,9674,9537,9572,9572
"Rock","NE",1420,1351,1357,1266,1271,1245,1252,1252
"Rock","WI",162205,162874,163354,163751,164192,164060,164573,164573
"Rock Island","IL",143828,142621,141879,144359,142992,141527,141164,141164
"Rockbridge","VA",22668,22761,22573,22645,22639,22593,22677,22677
"Rockcastle","KY",16778,16823,16695,16064,16151,16242,16292,16292
"Rockdale","GA",89843,90505,90896,93644,93961,94984,95997,95997
"Rockingham","NC",90791,90617,91010,91188,91260,91957,93131,93131
"Rockingham","NH",306669,308287,309769,314603,318214,319424,320987,320987
"Rockingham","VA",80397,81261,81948,83765,84470,85397,85713,85713
"Rockland","NY",324622,325522,325789,337394,339256,339022,337197,337197
"Rockwall","TX",96824,100546,104915,109136,116549,123208,125152,125152
"Roger Mills","OK",3661,3646,3583,3428,3361,3320,3349,3349
"Rogers","OK",91435,91801,92459,95387,96796,98836,99673,99673
"Rolette","ND",14614,14349,14176,12195,12086,11933,12005,12005
"Rooks","KS",5055,4995,4920,4895,4870,4813,4819,4819
"Roosevelt","MT",11160,11069,11004,10794,10808,10572,10666,10666
"Roosevelt","NM",18900,18759,18500,19157,19017,18934,18944,18944
"Roscommon","MI",23731,23812,24019,23466,23677,23708,23716,23716
"Roseau","MN",15305,15158,15165,15293,15260,15292,15348,15348
"Rosebud","MT",9205,9040,8937,8305,8077,8088,8160,8160
"Ross","OH",77295,76884,76666,77064,76540,76606,76801,76801
"Routt","CO",25171,25507,25638,24829,25056,25007,25169,25169
"Rowan","KY",24514,24503,24460,24716,24586,24388,24463,24463
"Rowan","NC",140356,141128,142088,147148,148012,149645,151555,151555
"Runnels","TX",10282,10178,10264,9919,9886,9859,10015,10015
"Rush","IN",16643,16635,16581,16767,16699,16673,16745,16745
"Rush","KS",3048,3056,3036,2938,2925,2927,2931,2931
"Rusk","TX",54213,54301,54406,52257,53071,53333,54175,54175
"Rusk","WI",14148,14110,14178,14179,14116,14186,14231,14231
"Russell","AL",56985,57784,57961,59259,58668,58555,58950,58950
"Russell","KS",6930,6902,6856,6670,6677,6639,6647,6647
"Russell","KY",17723,17790,17923,17995,18195,18178,18234,18234
"Russell","VA",27046,26795,26586,25756,25577,25448,25543,25543
"Rutherford","NC",66529,66775,67029,64479,64618,64963,65792,65792
"Rutherford","TN",316531,324647,332285,343266,351202,360619,364463,364463
"Rutland","VT",59006,58596,58191,60477,60720,60366,60404,60404
"Sabine","TX",10417,10576,10542,9888,9989,10048,10207,10207
"Sabine Parish","LA",23909,23901,23884,22093,22098,21985,21907,21907
"Sac","IA",9803,9705,9721,9794,9745,9673,9693,9693
"Sacramento","CA",1527301,1538746,1552058,1586465,1588106,1584169,1581566,1581566
"Sagadahoc","ME",35436,35690,35856,36724,37190,37393,37674,37674
"Saginaw","MI",191965,190791,190539,189860,189590,188330,188390,188390
"Saguache","CO",6633,6840,6824,6393,6505,6623,6666,6666
"Salem","NJ",62883,62746,62385,64842,65058,65117,65322,65322
"Salem city","VA",25373,25293,25301,25399,25354,25523,25618,25618
"Saline","AR",119520,121074,122437,123815,125319,127357,128281,128281
"Saline","IL",23963,23789,23491,23688,23348,23087,23028,23028
"Saline","KS",54508,54387,54224,54253,53899,53596,53658,53658
"Saline","MO",22910,22890,22761,23323,23241,23007,23075,23075
"Saline","NE",14365,14336,14224,14242,14052,14116,14192,14192
"Salt Lake","UT",1136719,1148692,1160437,1186921,1186440,1186257,1199217,1199217
"Saluda","SC",20299,20397,20473,18830,18821,18938,19264,19264
"Sampson","NC",63263,63345,63531,59078,59080,59120,59875,59875
"San Augustine","TX",8302,8254,8237,7923,7900,7857,7981,7981
"San Benito","CA",60164,61467,62808,64521,66675,67579,67468,67468
"San Bernardino","CA",2150945,2166753,2180085,2183239,2192882,2193656,2190051,2190051
"San Diego","CA",3321237,3333861,3338330,3296045,3274954,3276208,3270824,3270824
"San Francisco","CA",878040,880696,881549,870393,811253,808437,807109,807109
"San Jacinto","TX",28231,28717,28859,27531,27829,28348,28796,28796
"San Joaquin","CA",743296,752491,762148,780558,788140,793229,791926,791926
"San Juan","CO",712,764,728,710,740,803,809,809
"San Juan","NM",126917,125499,123958,121368,120866,120418,120477,120477
"San Juan","UT",15277,15358,15308,14517,14476,14359,14516,14516
"San Juan","WA",16729,17124,17582,17827,18615,18662,18727,18727
"San Luis Obispo","CA",282481,283354,283111,281879,279298,282013,281550,281550
"San Mateo","CA",768901,768681,766573,762511,739060,729181,727983,727983
"San Miguel","CO",8034,8180,8179,8054,8074,8003,8055,8055
"San Miguel","NM",27715,27480,27277,27129,27167,26953,26967,26967
"San Patricio","TX",67210,66671,66730,68838,69701,69954,71058,71058
"San Saba","TX",5996,6060,6055,5722,5824,5824,5916,5916
"Sanborn","SD",2435,2396,2344,2325,2383,2415,2441,2441
"Sanders","MT",11689,11847,12113,12463,12975,13442,13562,13562
"Sandoval","NM",142689,145096,146748,149276,151439,153501,153576,153576
"Sandusky","OH",59093,58740,58518,58865,58763,58667,58817,58817
"Sangamon","IL",197072,195639,194672,196122,195422,194534,194034,194034
"Sanilac","MI",41242,41192,41170,40502,40604,40657,40670,40670
"Sanpete","UT",29921,30503,30939,28521,29138,29724,30049,30049
"Santa Barbara","CA",445298,445780,446499,448244,437434,443837,443108,443108
"Santa Clara","CA",1932510,1932337,1927852,1931026,1886595,1870945,1867870,1867870
"Santa Cruz","AZ",46566,46395,46498,47705,48034,48759,49238,49238
"Santa Cruz","CA",274856,273841,273213,270462,260495,264370,263936,263936
"Santa Fe","NM",149491,149761,150358,155041,155404,155664,155740,155740
"Santa Rosa","FL",174049,179295,184313,188989,193783,198268,201530,201530
"Sarasota","FL",419680,426329,433742,436207,448550,462286,469891,469891
"Saratoga","NY",229276,230170,229863,235794,237962,238797,237512,237512
"Sargent","ND",3862,3851,3898,3836,3819,3795,3818,3818
"Sarpy","NE",181376,184062,187196,191157,193798,196553,197598,197598
"Sauk","WI",63967,64318,64442,65793,65740,65777,65983,65983
"Saunders","NE",21032,21274,21578,22372,22798,23118,23241,23241
"Sawyer","WI",16367,16464,16558,18123,18247,18559,18618,18618
"Schenectady","NY",154710,155079,155299,159315,160214,160093,159232,159232
"Schleicher","TX",2989,2880,2793,2445,2443,2357,2395,2395
"Schley","GA",5235,5230,5257,4534,4476,4496,4544,4544
"Schoharie","NY",31255,31146,30999,29752,30152,30063,29902,29902
"Schoolcraft","MI",8013,8044,8094,8056,8060,8188,8191,8191
"Schuyler","IL",6948,6870,6768,6871,6822,6746,6729,6729
"Schuyler","MO",4518,4594,4660,4010,4021,4002,4014,4014
"Schuyler","NY",17913,17884,17807,17863,17800,17650,17555,17555
"Schuylkill","PA",142580,141815,141359,142946,143201,143104,142991,142991
"Scioto","OH",75976,75480,75314,73844,73012,72194,72378,72378
"Scotland","MO",4948,4938,4902,4699,4679,4643,4657,4657
"Scotland","NC",35174,34751,34823,34141,34175,34162,34598,34598
"Scott","AR",10369,10339,10281,9828,9795,9805,9877,9877
"Scott","IA",172448,172803,172943,174596,174278,173924,174277,174277
"Scott","IL",4983,4927,4951,4941,4855,4790,4778,4778
"Scott","IN",23793,23784,23873,24371,24437,24588,24693,24693
"Scott","KS",4928,4909,4823,5138,5121,5014,5020,5020
"Scott","KY",54782,55968,57004,57520,58312,59099,59281,59281
"Scott","MN",145535,147191,149013,151350,153408,154520,155081,155081
"Scott","MO",38576,38541,38280,38020,37856,37840,37952,37952
"Scott","MS",28436,28319,28124,27968,27650,27707,27704,27704
"Scott","TN",21964,22028,22068,21878,21895,22035,22270,22270
"Scott","VA",21893,21672,21566,21585,21482,21476,21556,21556
"Scotts Bluff","NE",36160,35925,35618,36036,35828,35603,35793,35793
"Screven","GA",13956,13960,13966,14078,14055,13977,14127,14127
"Scurry","TX",17003,16812,16703,16937,16830,16686,16950,16950
"Searcy","AR",7927,7930,7881,7842,7880,7918,7976,7976
"Sebastian","AR",127786,127570,127827,127800,128425,129059,129996,129996
"Sedgwick","CO",2311,2276,2248,2390,2331,2295,2310,2310
"Sedgwick","KS",513176,513484,516042,524786,524481,525525,526133,526133
"Seminole","FL",462801,468122,471826,471428,471009,478772,486648,486648
"Seminole","GA",8253,8270,8090,9131,9142,9127,9225,9225
"Seminole","OK",24845,24520,24258,23515,23498,23351,23549,23549
"Seneca","NY",34246,34179,34016,33747,33576,32882,32705,32705
"Seneca","OH",55267,55194,55178,55051,54954,54632,54771,54771
"Sequatchie","TN",14767,14891,15026,15850,16445,16909,17090,17090
"Sequoyah","OK",41742,41585,41569,39246,39442,39667,40003,40003
"Sevier","AR",17103,17061,17007,15779,15709,15686,15800,15800
"Sevier","TN",97307,97895,98250,98562,99435,98789,99842,99842
"Sevier","UT",21292,21497,21620,21561,21918,22069,22311,22311
"Seward","KS",22245,21902,21428,21854,21747,21358,21383,21383
"Seward","NE",17203,17273,17284,17614,17584,17692,17787,17787
"Shackelford","TX",3289,3256,3265,3105,3177,3186,3237,3237
"Shannon","MO",8235,8189,8166,7028,7085,7193,7215,7215
"Sharkey","MS",4415,4375,4321,3769,3648,3488,3488,3488
"Sharp","AR",17147,17290,17442,17319,17660,17810,17940,17940
"Shasta","CA",179384,179709,180080,181984,181981,180930,180633,180633
"Shawano","WI",40846,40771,40899,40873,40812,40886,41014,41014
"Shawnee","KS",178056,177290,176875,178698,178367,177480,177686,177686
"Sheboygan","WI",115089,115233,115340,118030,117697,117841,118210,118210
"Shelby","AL",213633,215583,217702,223881,227428,230115,231665,231665
"Shelby","IA",11574,11559,11454,11723,11773,11645,11669,11669
"Shelby","IL",21774,21726,21634,20924,20861,20761,20708,20708
"Shelby","IN",44367,44522,44729,45058,45025,44991,45184,45184
"Shelby","KY",47209,48059,49024,48243,48580,48886,49036,49036
"Shelby","MO",5995,5997,5930,6088,5957,5982,6000,6000
"Shelby","OH",48738,48622,48590,48138,48030,47671,47793,47793
"Shelby","TN",935251,936365,937166,929388,923352,916371,926138,926138
"Shelby","TX",25225,25307,25274,23927,23962,24008,24387,24387
"Shenandoah","VA",43276,43473,43616,44263,44829,44968,45135,45135
"Sherburne","MN",94476,95957,97238,97580,99248,100824,101190,101190
"Sheridan","KS",2526,2522,2521,2451,2452,2425,2428,2428
"Sheridan","MT",3471,3386,3309,3536,3569,3564,3596,3596
"Sheridan","ND",1351,1342,1315,1267,1270,1295,1303,1303
"Sheridan","NE",5268,5189,5246,5104,5086,4996,5023,5023
"Sheridan","WY",30147,30219,30485,31005,31667,32096,32244,32244
"Sherman","KS",5936,5917,5917,5895,5911,5830,5837,5837
"Sherman","NE",3074,3044,3001,2956,2953,2980,2996,2996
"Sherman","OR",1735,1700,1780,1873,1912,1955,1952,1952
"Sherman","TX",3046,3101,3022,2787,2791,2799,2844,2844
"Shiawassee","MI",68400,68133,68122,68006,67998,68022,68044,68044
"Shoshone","ID",12519,12790,12882,13195,13659,14012,14198,14198
"Sibley","MN",14899,14997,14865,14810,14927,14955,15010,15010
"Sierra","CA",3002,2997,3005,3228,3295,3217,3212,3212
"Sierra","NM",11064,10949,10791,11563,11498,11436,11442,11442
"Silver Bow","MT",34811,34739,34915,35201,35554,36068,36388,36388
"Simpson","KY",18046,18403,18572,19626,19716,19949,20011,20011
"Simpson","MS",26905,26717,26658,25892,25686,25587,25584,25584
"Sioux","IA",34781,34802,34855,35887,35991,36050,36124,36124
"Sioux","ND",4425,4377,4230,3882,3759,3711,3734,3734
"Sioux","NE",1195,1186,1166,1144,1151,1127,1133,1133
"Siskiyou","CA",43622,43550,43539,43991,44026,43660,43589,43589
"Sitka City and Borough","AK",8641,8554,8493,8425,8410,8382,8380,8380
"Skagit","WA",125860,127835,129205,129884,130933,131179,131636,131636
"Skagway Municipality","AK",1167,1169,1183,1240,1142,1081,1081,1081
"Skamania","WA",11809,11919,12083,12033,12207,12460,12504,12504
"Slope","ND",767,761,750,695,686,672,677,677
"Smith","KS",3615,3590,3583,3552,3555,3533,3538,3538
"Smith","MS",16073,16029,15916,14194,14191,14092,14091,14091
"Smith","TN",19732,19979,20157,19970,20181,20489,20708,20708
"Smith","TX",227195,229749,232751,234195,237114,241922,245739,245739
"Smyth","VA",30731,30454,30104,29782,29600,29449,29558,29558
"Snohomish","WA",802089,813059,822083,829869,836037,840079,843003,843003
"Snyder","PA",40594,40518,40372,39727,39742,39652,39621,39621
"Socorro","NM",16832,16704,16637,16558,16303,16115,16123,16123
"Solano","CA",443511,445725,447643,452698,450350,448747,448010,448010
"Somerset","MD",25896,25606,25616,24564,24528,24546,24609,24609
"Somerset","ME",50351,50489,50484,50460,50715,51098,51481,51481
"Somerset","NJ",330573,330181,328934,344725,346331,346875,347967,347967
"Somerset","PA",74242,73872,73447,74016,72999,72710,72653,72653
"Somervell","TX",8855,9030,9128,9204,9472,9757,9911,9911
"Sonoma","CA",502469,498643,494336,488281,484315,482650,481857,481857
"Source: U.S. Census Bureau",NA,NA,NA,NA,NA,NA,NA,NA,NA
"South Central Connecticut Planning Region","CT",NA,NA,NA,569237,573562,573244,571817,571817
"Southampton","VA",17841,17713,17631,17952,18037,17932,17999,17999
"Southeast Fairbanks Census Area","AK",6892,6937,6893,6820,7005,7021,7020,7020
"Southeastern Connecticut Planning Region","CT",NA,NA,NA,279522,280117,280403,279705,279705
"Spalding","GA",65358,66107,66703,67455,67699,68919,69654,69654
"Spartanburg","SC",306740,314137,319785,329365,335406,345831,351784,351784
"Spencer","IN",20440,20385,20277,19835,19875,19967,20053,20053
"Spencer","KY",18619,19021,19351,19510,19895,20204,20266,20266
"Spink","SD",6507,6484,6376,6347,6273,6235,6301,6301
"Spokane","WA",505623,513603,522798,541125,545498,549690,551603,551603
"Spotsylvania","VA",132739,134011,136215,140594,143957,146688,147230,147230
"St. Bernard Parish","LA",46110,46780,47244,43853,44330,44479,44320,44320
"St. Charles","MO",395130,398780,402022,406385,410511,413803,415022,415022
"St. Charles Parish","LA",52620,52775,53100,52507,52405,50998,50815,50815
"St. Clair","AL",87926,88654,89512,91652,92903,93932,94565,94565
"St. Clair","IL",262600,261360,259686,256823,255022,252671,252022,252022
"St. Clair","MI",159005,159031,159128,160375,160384,160151,160202,160202
"St. Clair","MO",9365,9389,9397,9351,9404,9576,9605,9605
"St. Croix","WI",88560,89688,90687,93874,95055,96017,96318,96318
"St. Francis","AR",25997,25509,24994,23013,22701,22451,22614,22614
"St. Francois","MO",66674,66737,67215,66437,67057,66969,67167,67167
"St. Helena Parish","LA",10322,10187,10132,10901,10921,10822,10784,10784
"St. James Parish","LA",21380,21151,21096,20117,19790,19423,19354,19354
"St. John the Baptist Parish","LA",43328,43119,42837,42355,42021,39864,39721,39721
"St. Johns","FL",243693,253814,264672,277085,293175,306841,311889,311889
"St. Joseph","IN",270057,270972,271826,272672,272341,272234,273396,273396
"St. Joseph","MI",60710,60912,60964,60931,60850,60874,60894,60894
"St. Landry Parish","LA",83535,82782,82124,82302,82283,81773,81480,81480
"St. Lawrence","NY",108699,108327,107740,108554,108410,107733,107154,107154
"St. Louis","MN",199778,199685,199070,200064,199332,199532,200256,200256
"St. Louis","MO",996227,995219,994205,1003056,998227,990414,993332,993332
"St. Louis city","MO",308233,303419,300576,300483,293562,286578,287423,287423
"St. Lucie","FL",313163,320425,328297,331428,344283,358704,364605,364605
"St. Martin Parish","LA",54066,53562,53431,51628,51573,51236,51052,51052
"St. Mary Parish","LA",50708,49841,49348,49143,48188,47789,47618,47618
"St. Mary's","MD",112487,112720,113510,113987,114664,114877,115168,115168
"St. Tammany Parish","LA",255921,258035,260419,264986,270087,273263,272282,272282
"Stafford","KS",4186,4162,4156,4055,4008,3993,3998,3998
"Stafford","VA",146792,149824,152882,157746,161584,163380,163984,163984
"Stanislaus","CA",544717,548126,550660,553217,552851,551275,550369,550369
"Stanley","SD",2986,3017,3098,2969,3017,2999,3031,3031
"Stanly","NC",61505,62180,62806,62638,63108,64153,64972,64972
"Stanton","KS",2055,2025,2006,2083,2041,1963,1966,1966
"Stanton","NE",5974,5970,5920,5822,5797,5717,5748,5748
"Stark","IL",5457,5418,5342,5391,5296,5345,5332,5332
"Stark","ND",30291,30893,31489,33828,33059,32803,33000,33000
"Stark","OH",372003,371248,370606,374486,373659,372657,373605,373605
"Starke","IN",22935,22951,22995,23380,23378,23258,23358,23358
"Starr","TX",64130,64249,64633,65861,65972,65728,66765,66765
"Staunton city","VA",24325,24562,24932,25811,25653,25904,26000,26000
"Ste. Genevieve","MO",17792,17877,17894,18474,18571,18644,18699,18699
"Stearns","MN",158301,159656,161075,158467,159144,160405,160987,160987
"Steele","MN",36787,36738,36649,37375,37409,37398,37534,37534
"Steele","ND",1906,1892,1890,1787,1798,1788,1799,1799
"Stephens","GA",25736,26007,25925,26820,26765,26767,27053,27053
"Stephens","OK",43340,43179,43143,42814,43174,43710,44080,44080
"Stephens","TX",9287,9405,9366,9098,9434,9390,9539,9539
"Stephenson","IL",44997,44797,44498,44493,44071,43627,43515,43515
"Sterling","TX",1287,1304,1291,1381,1382,1417,1440,1440
"Steuben","IN",34384,34487,34594,34453,34666,34725,34874,34874
"Steuben","NY",96360,95860,95379,93314,93105,92599,92101,92101
"Stevens","KS",5551,5536,5485,5246,5299,5175,5181,5181
"Stevens","MN",9706,9752,9805,9666,9704,9637,9672,9672
"Stevens","WA",44636,45224,45723,46587,47553,48229,48397,48397
"Stewart","GA",6314,6435,6621,5304,4914,4648,4698,4698
"Stewart","TN",13422,13619,13715,13711,13830,14035,14185,14185
"Stillwater","MT",9419,9483,9642,8997,9026,9177,9259,9259
"Stoddard","MO",29364,29264,29025,28644,28482,28377,28461,28461
"Stokes","NC",45724,45511,45591,44565,44641,45175,45752,45752
"Stone","AR",12520,12454,12506,12350,12432,12575,12667,12667
"Stone","MO",31642,31701,31952,31206,31605,32136,32231,32231
"Stone","MS",18593,17997,18336,18332,18589,18669,18667,18667
"Stonewall","TX",1376,1352,1350,1245,1208,1182,1201,1201
"Storey","NV",3976,3981,4123,4106,4145,4170,4192,4192
"Story","IA",97278,96781,97117,98645,99666,99673,99876,99876
"Strafford","NH",129841,129797,130633,131055,131534,132275,132922,132922
"Stutsman","ND",21132,20875,20704,21556,21591,21487,21616,21616
"Sublette","WY",9745,9798,9831,8738,8725,8763,8804,8804
"Suffolk","MA",800806,803147,803907,793271,771765,766381,768514,768514
"Suffolk","NY",1483358,1480830,1476601,1521950,1533118,1525465,1517253,1517253
"Suffolk city","VA",90108,90975,92108,94697,96328,98537,98902,98902
"Suggested Citation:",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sullivan","IN",20700,20696,20669,20819,20781,20670,20759,20759
"Sullivan","MO",6212,6233,6089,5987,5916,5840,5858,5858
"Sullivan","NH",43027,43114,43146,43069,43627,43958,44173,44173
"Sullivan","NY",74994,75399,75432,78605,79694,79658,79230,79230
"Sullivan","PA",6142,6076,6066,5823,5859,5855,5851,5851
"Sullivan","TN",156924,157599,158348,158237,159167,160820,162534,162534
"Sully","SD",1398,1377,1391,1452,1471,1471,1487,1487
"Summers","WV",12882,12672,12573,11939,11892,11762,11729,11729
"Summit","CO",30820,30817,31011,30994,30971,30565,30763,30763
"Summit","OH",541514,541353,541013,539792,537247,535882,537244,537244
"Summit","UT",41330,41890,42145,42482,43168,43036,43507,43507
"Sumner","KS",23117,23019,22836,22342,22386,22473,22499,22499
"Sumner","TN",183756,187490,191283,197396,200582,203858,206031,206031
"Sumter","AL",12749,12634,12427,12196,11961,11853,11933,11933
"Sumter","FL",124995,128719,132420,130298,134867,144970,147355,147355
"Sumter","GA",29901,29796,29524,29516,28978,28877,29185,29185
"Sumter","SC",106431,106409,106721,105474,104856,104012,105803,105803
"Sunflower","MS",26142,26211,25110,25853,25328,24811,24808,24808
"Surry","NC",72107,71959,71783,71372,71196,71403,72315,72315
"Surry","VA",6503,6463,6422,6551,6524,6527,6552,6552
"Susquehanna","PA",40934,40560,40328,38334,38363,38074,38044,38044
"Sussex","DE",224348,229389,234225,238879,247722,255956,259348,259348
"Sussex","NJ",141197,140801,140488,143915,145645,146084,146544,146544
"Sussex","VA",11379,11241,11159,10789,10812,10680,10720,10720
"Sutter","CA",96204,96348,96971,99464,99038,98503,98342,98342
"Sutton","TX",3792,3752,3776,3355,3284,3217,3268,3268
"Suwannee","FL",44124,44179,44417,43517,44092,45411,46158,46158
"Swain","NC",14263,14249,14271,14099,14149,13967,14146,14146
"Sweet Grass","MT",3676,3703,3737,3670,3705,3715,3748,3748
"Sweetwater","WY",43464,42858,42343,42190,41582,41345,41536,41536
"Swift","MN",9387,9323,9266,9804,9781,9755,9791,9791
"Swisher","TX",7446,7413,7397,6946,6996,6881,6990,6990
"Switzerland","IN",10686,10731,10751,9742,9849,10006,10049,10049
"Talbot","GA",6256,6290,6195,5726,5746,5747,5809,5809
"Talbot","MD",37033,37074,37181,37481,37796,37932,38028,38028
"Taliaferro","GA",1613,1612,1537,1562,1560,1600,1618,1618
"Talladega","AL",80142,80137,79978,81428,80483,80704,81248,81248
"Tallahatchie","MS",14094,13961,13809,12650,12302,12035,12034,12034
"Tallapoosa","AL",40613,40535,40367,41286,41132,40977,41253,41253
"Tama","IA",17029,16869,16854,17077,16874,16903,16938,16938
"Taney","MO",55100,55719,55928,56057,56334,56821,56989,56989
"Tangipahoa Parish","LA",132353,133837,134758,133635,135508,137048,136556,136556
"Taos","NM",32790,32699,32723,34459,34700,34580,34597,34597
"Tarrant","TX",2056451,2081446,2102515,2115682,2129402,2154595,2188585,2188585
"Tate","MS",28581,28347,28321,28117,28118,28296,28293,28293
"Tattnall","GA",25409,25485,25286,24316,24132,24064,24321,24321
"Taylor","FL",21781,21545,21569,21739,20786,21283,21634,21634
"Taylor","GA",8110,8020,8020,7819,7754,7737,7820,7820
"Taylor","IA",6095,6160,6121,5865,5873,5858,5870,5870
"Taylor","KY",25544,25514,25769,26000,26158,26407,26489,26489
"Taylor","TX",136634,137294,138034,143444,143942,145163,147454,147454
"Taylor","WI",20314,20364,20343,19937,19944,19975,20038,20038
"Taylor","WV",16914,16828,16695,16684,16483,16342,16296,16296
"Tazewell","IL",133489,132450,131803,131073,130563,129911,129578,129578
"Tazewell","VA",41303,41058,40595,40405,40057,39821,39969,39969
"Tehama","CA",63847,64018,65084,65682,65380,65245,65138,65138
"Telfair","GA",15929,15974,15860,12465,12330,12354,12486,12486
"Teller","CO",24674,25113,25388,24747,24939,24857,25018,25018
"Tensas Parish","LA",4574,4470,4334,4107,4034,3846,3833,3833
"Terrebonne Parish","LA",111823,111163,110461,109405,109013,104786,104410,104410
"Terrell","GA",8695,8587,8531,9138,8904,8754,8848,8848
"Terrell","TX",814,810,776,750,720,693,704,704
"Terry","TX",12429,12344,12337,11794,11721,11567,11750,11750
"Teton","ID",11445,11651,12142,11735,12294,12544,12711,12711
"Teton","MT",6091,6117,6147,6256,6282,6368,6425,6425
"Teton","WY",23384,23269,23464,23377,23622,23287,23395,23395
"Texas","MO",25650,25506,25398,24326,24893,25336,25411,25411
"Texas","OK",20924,20491,19983,21291,20822,20495,20669,20669
"Thayer","NE",5034,5039,5003,5019,4906,4885,4911,4911
"Thomas","GA",44619,44334,44451,45785,45815,45561,46047,46047
"Thomas","KS",7821,7710,7777,7933,7942,7893,7903,7903
"Thomas","NE",722,714,722,670,676,671,675,675
"Throckmorton","TX",1510,1504,1501,1453,1508,1550,1575,1575
"Thurston","NE",7196,7274,7224,6752,6595,6507,6542,6542
"Thurston","WA",280269,286056,290536,295988,298078,298758,299798,299798
"Tift","GA",40431,40542,40644,41374,41123,41412,41854,41854
"Tillamook","OR",26522,26710,27036,27466,27800,27574,27530,27530
"Tillman","OK",7399,7323,7250,6948,7039,6977,7037,7037
"Tioga","NY",48609,48441,48203,48352,48087,47772,47515,47515
"Tioga","PA",40671,40690,40591,41014,41335,41106,41074,41074
"Tippah","MS",21953,22039,22015,21732,21614,21431,21429,21429
"Tippecanoe","IN",191199,193817,195732,186369,187566,188717,189523,189523
"Tipton","IN",15137,15112,15148,15386,15393,15361,15427,15427
"Tipton","TN",61305,61576,61599,61041,61049,61656,62314,62314
"Tishomingo","MS",19518,19383,19383,18843,18732,18619,18617,18617
"Titus","TX",32619,32743,32750,31292,31266,31208,31701,31701
"Todd","KY",12177,12306,12294,12289,12321,12404,12443,12443
"Todd","MN",24526,24570,24664,25277,25307,25538,25631,25631
"Todd","SD",10277,10245,10177,9317,9292,9220,9317,9317
"Tolland","CT",151009,150689,150721,NA,NA,NA,NA,NA
"Tom Green","TX",117566,118014,119200,120194,119250,118892,120768,120768
"Tompkins","NY",102664,102419,102180,99784,106044,104777,104213,104213
"Tooele","UT",67486,69989,72259,73338,76734,79934,80808,80808
"Toole","MT",4860,4835,4736,4970,5010,5082,5128,5128
"Toombs","GA",26859,26902,26830,27081,26873,26837,27124,27124
"Torrance","NM",15535,15512,15461,15054,15318,15454,15462,15462
"Towner","ND",2244,2185,2189,2147,2133,2064,2077,2077
