"county","state","2017","2018","2019","2020","2021","2022","2023","2024"
"Boone","IL",53513,53480,53544,53334,53199,53154,53018,53018
"Boone","IN",65723,66930,67843,71134,73006,74164,74481,74481
"Boone","KY",130952,131901,133581,136465,137760,139093,139520,139520
"Boone","MO",178012,179061,180463,184035,186075,187690,188243,188243
"Boone","NE",5320,5241,5192,5359,5400,5385,5414,5414
"Boone","WV",22369,21953,21457,21739,21367,20968,20908,20908
"Borden","TX",670,647,654,641,621,585,595,595
"Bosque","TX",18295,18629,18685,18245,18495,18697,18992,18992
"Bossier Parish","LA",126959,127022,127039,128717,129402,129276,128812,128812
"Botetourt","VA",33313,33352,33419,33637,33977,34135,34262,34262
"Bottineau","ND",6522,6398,6282,6384,6437,6376,6415,6415
"Boulder","CO",322441,324636,326196,330922,327075,327468,329582,329582
"Boundary","ID",11965,12016,12245,12137,12635,13345,13522,13522
"Bourbon","KS",14609,14542,14534,14333,14336,14493,14510,14510
"Bourbon","KY",20092,20116,19788,20290,20218,20093,20155,20155
"Bowie","TX",93458,93688,93245,92924,92291,92035,93487,93487
"Bowman","ND",3150,3067,3024,2984,2902,2894,2912,2912
"Box Butte","NE",10835,10733,10783,10826,10647,10672,10729,10729
"Box Elder","UT",53977,54906,56046,57946,59693,61498,62170,62170
"Boyd","KY",47808,47292,46718,48197,47767,48110,48258,48258
"Boyd","NE",1955,1950,1919,1805,1786,1741,1751,1751
"Boyle","KY",29972,30082,30060,30753,30649,30904,30999,30999
"Bracken","KY",8285,8278,8303,8402,8446,8452,8478,8478
"Bradford","FL",27142,27752,28201,28224,28050,27313,27763,27763
"Bradford","PA",60963,60794,60323,59969,60099,59866,59819,59819
"Bradley","AR",10813,10838,10763,10488,10332,10135,10209,10209
"Bradley","TN",105421,107050,108110,108820,109769,110616,111795,111795
"Branch","MI",43375,43566,43517,44868,45202,44531,44545,44545
"Brantley","GA",18832,18985,19109,18043,18121,18183,18377,18377
"Braxton","WV",14217,14076,13957,12397,12293,12185,12151,12151
"Brazoria","TX",361853,368887,374264,373481,378858,388181,394305,394305
"Brazos","TX",223917,225781,229211,234486,237583,242014,245832,245832
"Breathitt","KY",12929,12787,12630,13694,13527,13351,13392,13392
"Breckinridge","KY",20131,20309,20477,20443,20652,20943,21008,21008
"Bremer","IA",24823,24941,25062,25003,25122,25259,25311,25311
"Brevard","FL",587769,595203,601942,608713,617742,630693,641068,641068
"Brewster","TX",9325,9272,9203,9553,9459,9343,9491,9491
"Briscoe","TX",1514,1512,1546,1419,1400,1431,1454,1454
"Bristol","MA",560941,564092,565217,576737,579895,580068,581682,581682
"Bristol","RI",48734,48637,48479,50774,50800,50360,50463,50463
"Bristol Bay Borough","AK",869,880,836,829,841,865,865,865
"Bristol city","VA",16880,16685,16762,17295,17095,16975,17038,17038
"Broadwater","MT",5917,6072,6237,6857,7323,7793,7863,7863
"Bronx","NY",1440625,1432087,1418207,1461125,1421089,1379946,1372517,1372517
"Brooke","WV",22373,22129,21939,22472,22109,21733,21671,21671
"Brookings","SD",34749,35077,35077,34350,34710,35484,35855,35855
"Brooks","GA",15617,15479,15457,16268,16285,16253,16427,16427
"Brooks","TX",7132,7099,7093,7057,6994,6906,7015,7015
"Broome","NY",193100,191925,190488,198126,198703,197117,196056,196056
"Broomfield","CO",68263,69324,70465,74484,75375,76121,76613,76613
"Broward","FL",1934516,1946107,1952778,1943266,1935729,1947026,1979053,1979053
"Brown","IL",6609,6563,6578,6233,6443,6330,6314,6314
"Brown","IN",15010,15230,15092,15482,15573,15570,15637,15637
"Brown","KS",9609,9610,9564,9482,9453,9364,9375,9375
"Brown","MN",25172,25125,25008,25903,25883,25723,25817,25817
"Brown","NE",3000,2967,2955,2902,2912,2872,2888,2888
"Brown","OH",43523,43570,43432,43671,43690,43680,43792,43792
"Brown","SD",39290,39145,38839,38222,38090,37972,38369,38369
"Brown","TX",37815,37820,37864,38048,38142,38373,38979,38979
"Brown","WI",261762,263165,264542,268921,268814,270036,270880,270880
"Brule","SD",5304,5230,5297,5253,5254,5321,5377,5377
"Brunswick","NC",130859,136880,142820,138157,144814,153064,155018,155018
"Brunswick","VA",16570,16336,16231,15824,15979,15921,15980,15980
"Bryan","GA",36999,38059,39627,45035,46963,48225,48740,48740
"Bryan","OK",46481,47191,47995,46327,47187,48182,48590,48590
"Buchanan","IA",21126,21178,21175,20606,20697,20714,20756,20756
"Buchanan","MO",88660,88163,87364,84460,83655,82911,83156,83156
"Buchanan","VA",21604,21369,21004,20249,19861,19352,19424,19424
"Buckingham","VA",17038,17043,17148,16826,16940,16982,17045,17045
"Bucks","PA",626811,627812,628270,646112,647159,645054,644541,644541
"Buena Vista","IA",20144,19826,19620,20809,20767,20600,20642,20642
"Buena Vista city","VA",6482,6494,6478,6621,6615,6591,6616,6616
"Buffalo","NE",49350,49352,49659,50195,50310,50586,50855,50855
"Buffalo","SD",2013,2027,1962,1938,1912,1861,1881,1881
"Buffalo","WI",13105,13114,13031,13319,13312,13391,13433,13433
"Bullitt","KY",80269,81009,81676,82355,83076,83836,84094,84094
"Bulloch","GA",75991,77242,79608,79918,80637,83059,83945,83945
"Bullock","AL",10176,10174,10101,10296,10280,10202,10271,10271
"Buncombe","NC",257071,259259,261191,269694,271719,273589,277080,277080
"Bureau","IL",33137,32959,32628,33172,32961,32828,32744,32744
"Burke","GA",22545,22439,22383,24633,24333,24388,24649,24649
"Burke","NC",90157,90405,90485,87577,87634,87881,89003,89003
"Burke","ND",2128,2094,2115,2208,2173,2155,2168,2168
"Burleigh","ND",95247,95276,95626,98594,98967,99280,99875,99875
"Burleson","TX",18053,18335,18443,17680,18110,18657,18952,18952
"Burlington","NJ",445610,444745,445349,461648,464411,466103,467570,467570
"Burnet","TX",46600,47344,48155,49473,51080,52502,53331,53331
"Burnett","WI",15295,15374,15414,16579,16759,17036,17090,17090
