branch_code,month,defaultlo,sumfines,pre_plaz,nmembers,credentry,cred_use,female,married,divorced,age,educ0,educ2,newgroup,newclnt,int_mont
44,493,.047619049,44.805714,9.8095236,3.2857144,15386,0,.80952382,.66666669,0,47.57143,.2857143,0,0,0,17053.57142857143
44,494,.24528302,14.242453,18.679245,8.5094337,15386,0,.73584908,.75471699,.018867925,42,.20754717,.094339624,0,0,39107.14285714286
44,495,.125,22.847189,8.25,3.625,15386,0,.625,.6875,0,42.40625,.21875,.125,0,0,20607.14285714286
44,496,.074074075,16.300371,16.018518,7.6666665,15386,0,.7962963,.81481481,.018518519,43.830189,.18518518,.037037037,0,0,34285.71428571429
44,497,.039999999,19.726799,11.84,4.8000002,15386,0,.68000001,.66000003,0,39.259998,.2,.14,0,0,40660.71428571429
44,498,.2631579,64.040527,11.877193,5.1052632,15386,0,.70175439,.54385966,.070175439,40.285713,.1754386,.12280702,0,0,39642.85714285714
44,499,.4074074,65.306664,13.944445,4.5925927,15386,0,.7037037,.75925928,.037037037,41.51852,.18518518,.11111111,0,0,38214.28571428572
44,500,.40625,72.951256,16.203125,5.84375,15386,0,.640625,.734375,.03125,39.650795,.234375,.109375,.2,.0625,46857.14285714286
44,501,.140625,75.970467,10.421875,6.21875,15386,0,.671875,.734375,0,38.796875,.21875,.109375,.4509804,.40625,37035.71428571429
44,502,.20338982,74.129662,16.355932,5.7457628,15386,0,.72881359,.71186441,.050847456,39.258621,.06779661,.16949153,.5,.47457626,46178.57142857143
44,503,.080645159,44.51387,10.17742,2.967742,15386,0,.69354838,.69354838,0,41.532257,.16129032,.17741935,.086956523,.25806451,69017.85714285714
44,504,.38356164,480.5181,13.863013,6.5342464,15386,0,.87671232,.71232879,0,40.513889,.15068494,.24657534,.56862748,.63013697,59267.85714285714
44,505,.1,22.775,9.3999996,2.8,15386,0,.69999999,.69999999,.1,44,.2,.1,0,.1,7589.285714285715
44,506,.14285715,49.853062,10.448979,3.2040815,15386,1,.73469388,.71428573,.040816326,37.959183,.06122449,.06122449,.45454547,.53061223,54696.42857142857
44,507,.11290322,88.989838,8.2580643,2.2258065,15386,1,.69354838,.66129035,.016129032,42.096775,.11290322,.22580644,.42857143,.59677422,71267.85714285714
44,508,.039473683,8.7360525,10.526316,2.8684211,15386,1,.67105263,.64473683,.013157895,40.25,.065789476,.22368421,.53448278,.59210527,77892.85714285714
44,509,.27058825,88.159531,9.4588232,2.482353,15386,1,.69411767,.57647061,.035294119,40.305882,.10588235,.16470589,.42622951,.5411765,81250
44,510,.31395349,17.678255,9.4534883,2.5581396,15386,1,.63953489,.73255813,.023255814,38.825581,.034883723,.23255815,.63492066,.67441863,88267.85714285714
